Time resolution is 1 ps
Time: 5775000 | rst: 0 | cke: 1 | xn:     10 | yn:      309372
Time: 5795000 | rst: 0 | cke: 1 | xn:     10 | yn:      309555
Time: 5815000 | rst: 0 | cke: 1 | xn:     10 | yn:      309736
Time: 5835000 | rst: 0 | cke: 1 | xn:     10 | yn:      309915
Time: 5855000 | rst: 0 | cke: 1 | xn:     10 | yn:      310092
Time: 5875000 | rst: 0 | cke: 1 | xn:     10 | yn:      310268
Time: 5895000 | rst: 0 | cke: 1 | xn:     10 | yn:      310442
Time: 5915000 | rst: 0 | cke: 1 | xn:     10 | yn:      310614
Time: 5935000 | rst: 0 | cke: 1 | xn:     10 | yn:      310784
Time: 5955000 | rst: 0 | cke: 1 | xn:     10 | yn:      310953
Time: 5975000 | rst: 0 | cke: 1 | xn:     10 | yn:      311120
Time: 5995000 | rst: 0 | cke: 1 | xn:     10 | yn:      311285
Time: 6015000 | rst: 0 | cke: 1 | xn:     10 | yn:      311449
Time: 6035000 | rst: 0 | cke: 1 | xn:     10 | yn:      311611
Time: 6050000 | rst: 1 | cke: 1 | xn:    -10 | yn:      311611
Time: 6055000 | rst: 1 | cke: 1 | xn:    -10 | yn:           0
Time: 6070000 | rst: 0 | cke: 1 | xn:    -10 | yn:           0
Time: 6095000 | rst: 0 | cke: 1 | xn:    -10 | yn:       -3280
Time: 6115000 | rst: 0 | cke: 1 | xn:    -10 | yn:       -6528
Time: 6135000 | rst: 0 | cke: 1 | xn:    -10 | yn:       -9743
Time: 6155000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -12926
Time: 6175000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -16077
Time: 6195000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -19197
Time: 6215000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -22285
Time: 6235000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -25342
Time: 6255000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -28369
Time: 6275000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -31366
Time: 6295000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -34333
Time: 6315000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -37270
Time: 6335000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -40177
Time: 6355000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -43055
Time: 6375000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -45905
Time: 6395000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -48726
Time: 6415000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -51519
Time: 6435000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -54284
Time: 6455000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -57021
Time: 6475000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -59731
Time: 6495000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -62414
Time: 6515000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -65070
Time: 6535000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -67699
Time: 6555000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -70302
Time: 6575000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -72879
Time: 6595000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -75430
Time: 6615000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -77955
Time: 6635000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -80455
Time: 6655000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -82930
Time: 6675000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -85380
Time: 6695000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -87806
Time: 6715000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -90208
Time: 6735000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -92586
Time: 6755000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -94940
Time: 6775000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -97270
Time: 6795000 | rst: 0 | cke: 1 | xn:    -10 | yn:      -99577
Time: 6815000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -101861
Time: 6835000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -104122
Time: 6855000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -106360
Time: 6875000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -108576
Time: 6895000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -110770
Time: 6915000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -112942
Time: 6935000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -115092
Time: 6955000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -117220
Time: 6975000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -119327
Time: 6995000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -121413
Time: 7015000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -123478
Time: 7035000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -125523
Time: 7055000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -127547
Time: 7075000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -129551
Time: 7095000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -131535
Time: 7115000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -133499
Time: 7135000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -135443
Time: 7155000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -137368
Time: 7175000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -139273
Time: 7195000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -141159
Time: 7215000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -143027
Time: 7235000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -144876
Time: 7255000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -146706
Time: 7275000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -148518
Time: 7295000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -150312
Time: 7315000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -152088
Time: 7335000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -153846
Time: 7355000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -155587
Time: 7375000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -157310
Time: 7395000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -159016
Time: 7415000 | rst: 0 | cke: 1 | xn:    -10 | yn:     -160705
